time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-18 00:00:00+00:00,20,12,32,18
2026-04-19 00:00:00+00:00,69,38,53,36
2026-04-20 00:00:00+00:00,2324,137,112,44
2026-04-21 00:00:00+00:00,1330,128,81,39
2026-04-22 00:00:00+00:00,192,75,107,54
2026-04-23 00:00:00+00:00,392,86,134,73
2026-04-24 00:00:00+00:00,176,75,168,105
2026-04-25 00:00:00+00:00,177,61,81,39
2026-04-26 00:00:00+00:00,1122,71,276,192
2026-04-27 00:00:00+00:00,95,36,182,118
2026-04-28 00:00:00+00:00,54,22,128,82
2026-04-29 00:00:00+00:00,118,46,138,76
2026-04-30 00:00:00+00:00,80,32,84,56
2026-05-01 00:00:00+00:00,78,32,87,50
