url_path,views_total,views_unique
/mathesar-foundation/mathesar,457,277
/mathesar-foundation/mathesar/discussions,59,16
/mathesar-foundation/mathesar/issues,55,25
/mathesar-foundation/mathesar/pulls,51,22
/mathesar-foundation/mathesar/releases,24,15
/mathesar-foundation/mathesar/releases/tag/0.12.0,18,13
/mathesar-foundation/mathesar/actions,14,14
/mathesar-foundation/mathesar/projects,14,6
/mathesar-foundation/mathesar/blob/develop/docker-compose.yml,9,7
/mathesar-foundation/mathesar/commits/develop,7,4
