url_path,views_total,views_unique
/mathesar-foundation/mathesar,633,342
/mathesar-foundation/mathesar/issues,384,62
/mathesar-foundation/mathesar/pulls,378,31
/mathesar-foundation/mathesar/issues/3397,68,13
/mathesar-foundation/mathesar/pull/5085,59,10
/mathesar-foundation/mathesar/issues/4901,57,14
/mathesar-foundation/mathesar/issues/3862,40,10
/mathesar-foundation/mathesar/issues/2411,36,12
/mathesar-foundation/mathesar/compare/develop...manojponnusamy2032-star:mathesar-manoj:feat/delete-record-from-record-page,31,5
/mathesar-foundation/mathesar/compare/develop...manojponnusamy2032-star:mathesar-manoj:drop-database-3862-clean,29,2
