url_path,views_total,views_unique
/mathesar-foundation/mathesar,1710,1115
/mathesar-foundation/mathesar/pulls,262,23
/mathesar-foundation/mathesar/issues,236,44
/mathesar-foundation/mathesar/pull/4260,42,5
/mathesar-foundation/mathesar/tree/develop/mathesar_ui,32,23
/mathesar-foundation/mathesar/issues/4243,32,10
/mathesar-foundation/mathesar/issues/4237,30,13
/mathesar-foundation/mathesar/pull/4269,30,4
/mathesar-foundation/mathesar/pull/4251,29,8
/mathesar-foundation/mathesar/tree/develop/mathesar,27,23
