referrer,views_total,views_unique
github.com,554,55
Google,309,86
mathesar.org,158,55
docs.mathesar.org,110,33
wiki.postgresql.org,24,17
DuckDuckGo,21,6
Bing,13,7
ecosia.org,13,1
com.linkedin.android,9,3
linkedin.com,9,2
