url_path,views_total,views_unique
/mathesar-foundation/mathesar,303,196
/mathesar-foundation/mathesar/issues,127,26
/mathesar-foundation/mathesar/pulls,94,16
/mathesar-foundation/mathesar/discussions,46,7
/mathesar-foundation/mathesar/pull/3608,21,4
/mathesar-foundation/mathesar/tree/develop/mathesar,19,6
/mathesar-foundation/mathesar/tree/develop/db,18,7
/mathesar-foundation/mathesar/tree/develop/mathesar_ui,17,6
/mathesar-foundation/mathesar/issues/2411,16,11
/mathesar-foundation/mathesar/pull/3602,16,4
