url_path,views_total,views_unique
/mathesar-foundation/mathesar,624,391
/mathesar-foundation/mathesar/pulls,316,33
/mathesar-foundation/mathesar/issues,261,59
/mathesar-foundation/mathesar/blob/develop/docker-compose.yml,31,26
/mathesar-foundation/mathesar/tree/develop,29,16
/mathesar-foundation/mathesar/issues/5175,26,8
/mathesar-foundation/mathesar/pull/5189,24,6
/mathesar-foundation/mathesar/pull/5192,22,4
/mathesar-foundation/mathesar/pull/5171,19,5
/mathesar-foundation/mathesar/releases,18,15
