url_path,views_total,views_unique
/mathesar-foundation/mathesar,274,165
/mathesar-foundation/mathesar/pulls,178,12
/mathesar-foundation/mathesar/issues,135,41
/mathesar-foundation/mathesar/discussions,28,10
/mathesar-foundation/mathesar/tree/develop/mathesar_ui,26,9
/mathesar-foundation/mathesar/pull/3751,25,2
/mathesar-foundation/mathesar/blob/develop/CONTRIBUTING.md,22,9
/mathesar-foundation/mathesar/blob/develop/DEVELOPER_GUIDE.md,22,6
/mathesar-foundation/mathesar/pull/3722,21,3
/mathesar-foundation/mathesar/tree/develop/mathesar,19,6
