url_path,views_total,views_unique
/mathesar-foundation/mathesar,660,298
/mathesar-foundation/mathesar/issues,366,92
/mathesar-foundation/mathesar/pulls,220,27
/mathesar-foundation/mathesar/blob/develop/DEVELOPER_GUIDE.md,153,17
/mathesar-foundation/mathesar/blob/develop/CONTRIBUTING.md,148,34
/mathesar-foundation/mathesar/issues/3330,60,22
/mathesar-foundation/mathesar/pull/3323,58,6
/mathesar-foundation/mathesar/blob/develop/mathesar_ui/README.md,55,3
/mathesar-foundation/mathesar/tree/develop/mathesar_ui,50,14
/mathesar-foundation/mathesar/labels,47,16
