url_path,views_total,views_unique
/mathesar-foundation/mathesar,589,400
/mathesar-foundation/mathesar/issues,203,58
/mathesar-foundation/mathesar/pulls,177,32
/mathesar-foundation/mathesar/blob/develop/docker-compose.yml,24,21
/mathesar-foundation/mathesar/tree/develop,23,12
/mathesar-foundation/mathesar/issues/5175,23,8
/mathesar-foundation/mathesar/releases,21,18
/mathesar-foundation/mathesar/pull/5203,19,5
/mathesar-foundation/mathesar/releases/tag/0.8.0,18,16
/mathesar-foundation/mathesar/pull/5189,16,5
