url_path,views_total,views_unique
/mathesar-foundation/mathesar,343,207
/mathesar-foundation/mathesar/blob/develop/CONTRIBUTING.md,120,12
/mathesar-foundation/mathesar/issues,103,48
/mathesar-foundation/mathesar/blob/develop/DEVELOPER_GUIDE.md,42,4
/mathesar-foundation/mathesar/pulls,40,12
/mathesar-foundation/mathesar/issues/3444,23,9
/mathesar-foundation/mathesar/tree/develop/mathesar_ui,22,7
/mathesar-foundation/mathesar/tree/develop/mathesar_ui/src,19,5
/mathesar-foundation/mathesar/discussions,19,3
/mathesar-foundation/mathesar/blob/develop/mathesar_ui/package.json,15,4
