time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-16 00:00:00+00:00,2314,73,395,44
2025-10-17 00:00:00+00:00,2921,217,277,68
2025-10-18 00:00:00+00:00,169,54,120,73
2025-10-19 00:00:00+00:00,157,38,84,45
2025-10-20 00:00:00+00:00,819,55,150,52
2025-10-21 00:00:00+00:00,231,47,242,87
2025-10-22 00:00:00+00:00,80,54,300,87
2025-10-23 00:00:00+00:00,49,26,273,67
2025-10-24 00:00:00+00:00,70,30,226,59
2025-10-25 00:00:00+00:00,55,28,72,38
2025-10-26 00:00:00+00:00,46,27,63,34
2025-10-27 00:00:00+00:00,143,49,191,51
2025-10-28 00:00:00+00:00,1060,57,338,94
2025-10-29 00:00:00+00:00,265,59,450,124
