url_path,views_total,views_unique
/mathesar-foundation/mathesar,447,302
/mathesar-foundation/mathesar/issues,100,37
/mathesar-foundation/mathesar/pulls,57,23
/mathesar-foundation/mathesar/releases/tag/0.10.0,25,21
/mathesar-foundation/mathesar/releases,25,20
/mathesar-foundation/mathesar/discussions,22,7
/mathesar-foundation/mathesar/blob/develop/docker-compose.yml,12,11
/mathesar-foundation/mathesar/pulse,11,7
/mathesar-foundation/mathesar/releases/tag/0.10.1,10,9
/mathesar-foundation/mathesar/issues/5256,7,4
