url_path,views_total,views_unique
/mathesar-foundation/mathesar,422,247
/mathesar-foundation/mathesar/issues,183,25
/mathesar-foundation/mathesar/pulls,106,7
/mathesar-foundation/mathesar/blob/develop/CONTRIBUTING.md,32,8
/mathesar-foundation/mathesar/tree/develop/mathesar,32,6
/mathesar-foundation/mathesar/blob/develop/docker-compose.yml,31,7
/mathesar-foundation/mathesar/issues/2716,28,10
/mathesar-foundation/mathesar/commits/develop,28,2
/mathesar-foundation/mathesar/tree/develop/mathesar_ui,26,8
/mathesar-foundation/mathesar/discussions,25,6
