time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-20 00:00:00+00:00,1320,10,239,34
2025-01-21 00:00:00+00:00,1313,7,126,36
2025-01-22 00:00:00+00:00,1295,11,485,42
2025-01-23 00:00:00+00:00,1064,12,246,31
2025-01-24 00:00:00+00:00,671,6,278,36
2025-01-25 00:00:00+00:00,4,4,80,25
2025-01-26 00:00:00+00:00,152,3,20,12
2025-01-27 00:00:00+00:00,1157,13,294,22
2025-01-28 00:00:00+00:00,2896,26,578,50
2025-01-29 00:00:00+00:00,660,6,273,62
2025-01-30 00:00:00+00:00,861,55,11593,8477
2025-01-31 00:00:00+00:00,26,23,4513,3422
2025-02-01 00:00:00+00:00,13,9,1250,739
2025-02-02 00:00:00+00:00,7,7,1095,652
