url_path,views_total,views_unique
/mathesar-foundation/mathesar,459,276
/mathesar-foundation/mathesar/discussions,62,16
/mathesar-foundation/mathesar/issues,51,25
/mathesar-foundation/mathesar/pulls,44,19
/mathesar-foundation/mathesar/releases,28,15
/mathesar-foundation/mathesar/releases/tag/0.12.0,18,13
/mathesar-foundation/mathesar/actions,15,15
/mathesar-foundation/mathesar/blob/develop/docker-compose.yml,7,5
/mathesar-foundation/mathesar/discussions/118,6,4
/mathesar-foundation/mathesar/pulse,6,4
