time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-25 00:00:00+00:00,74,3,43,20
2024-11-26 00:00:00+00:00,139,2,145,30
2024-11-27 00:00:00+00:00,222,4,39,15
2024-11-28 00:00:00+00:00,8,3,53,23
2024-11-29 00:00:00+00:00,226,12,73,20
2024-11-30 00:00:00+00:00,3,3,165,15
2024-12-01 00:00:00+00:00,4,3,72,22
2024-12-02 00:00:00+00:00,6,5,219,33
2024-12-03 00:00:00+00:00,153,6,131,30
2024-12-04 00:00:00+00:00,572,7,154,32
2024-12-05 00:00:00+00:00,148,5,101,25
2024-12-06 00:00:00+00:00,483,8,144,21
2024-12-07 00:00:00+00:00,4,4,37,18
2024-12-08 00:00:00+00:00,4,2,43,14
