referrer,views_total,views_unique
github.com,616,53
Google,427,79
docs.mathesar.org,144,26
mathesar.org,125,50
DuckDuckGo,28,8
wiki.postgresql.org,22,16
Bing,14,8
ecosia.org,13,2
wiki.mathesar.org,12,5
linkedin.com,8,1
