referrer,views_total,views_unique
github.com,386,59
Google,264,82
t.co,204,177
mathesar.org,106,54
docs.mathesar.org,53,32
wiki.postgresql.org,24,16
overleaf.com,14,1
ecosia.org,13,1
com.linkedin.android,10,4
DuckDuckGo,7,4
