url_path,views_total,views_unique
/mathesar-foundation/mathesar,486,295
/mathesar-foundation/mathesar/issues,127,37
/mathesar-foundation/mathesar/pulls,55,20
/mathesar-foundation/mathesar/discussions,54,15
/mathesar-foundation/mathesar/releases,19,16
/mathesar-foundation/mathesar/releases/tag/0.12.0,13,12
/mathesar-foundation/mathesar/commits/develop,12,4
/mathesar-foundation/mathesar/pulse,11,3
/mathesar-foundation/mathesar/blob/develop/docker-compose.yml,9,7
/mathesar-foundation/mathesar/blob/develop/sso.yml.example,8,6
