time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-14 00:00:00+00:00,561,20,164,38
2025-07-15 00:00:00+00:00,2690,63,262,46
2025-07-16 00:00:00+00:00,2478,65,283,50
2025-07-17 00:00:00+00:00,1566,36,346,60
2025-07-18 00:00:00+00:00,933,52,134,24
2025-07-19 00:00:00+00:00,60,10,45,27
2025-07-20 00:00:00+00:00,290,16,90,25
2025-07-21 00:00:00+00:00,87,20,121,52
2025-07-22 00:00:00+00:00,2358,65,271,74
2025-07-23 00:00:00+00:00,763,36,145,52
2025-07-24 00:00:00+00:00,1728,69,201,52
2025-07-25 00:00:00+00:00,1880,36,313,150
2025-07-26 00:00:00+00:00,26,14,69,53
2025-07-27 00:00:00+00:00,48,20,88,36
