referrer,views_total,views_unique
github.com,569,63
Google,480,67
docs.mathesar.org,132,37
mathesar.org,89,41
Bing,16,8
DuckDuckGo,14,8
wiki.mathesar.org,11,5
wiki.postgresql.org,10,10
selfh.st,7,7
alternativeto.net,6,4
