url_path,views_total,views_unique
/mathesar-foundation/mathesar,579,362
/mathesar-foundation/mathesar/issues,127,44
/mathesar-foundation/mathesar/pulls,49,21
/mathesar-foundation/mathesar/discussions,25,9
/mathesar-foundation/mathesar/releases/tag/0.9.0,24,17
/mathesar-foundation/mathesar/releases,17,15
/mathesar-foundation/mathesar/blob/0.6.0/db/sql/test_startup.sql,17,1
/mathesar-foundation/mathesar/blob/develop/docker-compose.yml,14,11
/mathesar-foundation/mathesar/milestones,12,4
/mathesar-foundation/mathesar/blob/develop/Dockerfile,10,7
