url_path,views_total,views_unique
/mathesar-foundation/mathesar,594,351
/mathesar-foundation/mathesar/issues,243,101
/mathesar-foundation/mathesar/pulls,122,34
/mathesar-foundation/mathesar/blob/develop/CONTRIBUTING.md,108,30
/mathesar-foundation/mathesar/blob/develop/DEVELOPER_GUIDE.md,62,17
/mathesar-foundation/mathesar/blob/develop/Dockerfile,52,5
/mathesar-foundation/mathesar/issues/3216,47,41
/mathesar-foundation/mathesar/tree/develop/mathesar,45,13
/mathesar-foundation/mathesar/issues/3380,43,30
/mathesar-foundation/mathesar/labels,40,23
