url_path,views_total,views_unique
/mathesar-foundation/mathesar,297,208
/mathesar-foundation/mathesar/pulls,249,12
/mathesar-foundation/mathesar/issues,103,31
/mathesar-foundation/mathesar/pull/3685,36,3
/mathesar-foundation/mathesar/tree/develop/mathesar_ui/src,35,3
/mathesar-foundation/mathesar/tree/develop/mathesar_ui,32,7
/mathesar-foundation/mathesar/pull/3665,28,5
/mathesar-foundation/mathesar/pull/3669,26,3
/mathesar-foundation/mathesar/discussions,23,10
/mathesar-foundation/mathesar/pull/3689,23,3
