url_path,views_total,views_unique
/mathesar-foundation/mathesar,487,324
/mathesar-foundation/mathesar/issues,92,29
/mathesar-foundation/mathesar/pulls,43,16
/mathesar-foundation/mathesar/discussions,28,8
/mathesar-foundation/mathesar/releases/tag/0.9.0,18,16
/mathesar-foundation/mathesar/releases,14,11
/mathesar-foundation/mathesar/commits,13,4
/mathesar-foundation/mathesar/pull/5218,11,5
/mathesar-foundation/mathesar/milestones,11,4
/mathesar-foundation/mathesar/blob/develop/docker-compose.yml,10,7
