time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-31 00:00:00+00:00,22,15,140,44
2026-08-01 00:00:00+00:00,17,9,60,27
2026-08-02 00:00:00+00:00,93,23,45,34
2026-08-03 00:00:00+00:00,68,34,209,184
2026-08-04 00:00:00+00:00,55,25,145,118
2026-08-05 00:00:00+00:00,63,26,102,53
2026-08-06 00:00:00+00:00,161,26,170,41
2026-08-07 00:00:00+00:00,141,28,69,45
2026-08-08 00:00:00+00:00,168,16,56,41
2026-08-09 00:00:00+00:00,731,121,62,47
2026-08-10 00:00:00+00:00,177,28,84,49
2026-08-11 00:00:00+00:00,94,30,153,46
2026-08-12 00:00:00+00:00,211,27,83,53
2026-08-13 00:00:00+00:00,526,353,103,53
