url_path,views_total,views_unique
/mathesar-foundation/mathesar,602,387
/mathesar-foundation/mathesar/pulls,287,33
/mathesar-foundation/mathesar/issues,250,62
/mathesar-foundation/mathesar/blob/develop/docker-compose.yml,28,24
/mathesar-foundation/mathesar/tree/develop,28,15
/mathesar-foundation/mathesar/issues/5175,25,8
/mathesar-foundation/mathesar/pull/5189,23,6
/mathesar-foundation/mathesar/pull/5192,22,4
/mathesar-foundation/mathesar/releases,19,16
/mathesar-foundation/mathesar/pull/5171,19,5
