time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-01 00:00:00+00:00,1146,24,273,108
2025-08-02 00:00:00+00:00,19,10,87,62
2025-08-03 00:00:00+00:00,45,13,91,44
2025-08-04 00:00:00+00:00,1469,40,227,62
2025-08-05 00:00:00+00:00,1561,34,164,56
2025-08-06 00:00:00+00:00,946,36,450,103
2025-08-07 00:00:00+00:00,67,20,146,56
2025-08-08 00:00:00+00:00,72,8,257,120
2025-08-09 00:00:00+00:00,23,12,110,89
2025-08-10 00:00:00+00:00,22,9,55,35
2025-08-11 00:00:00+00:00,2349,58,474,68
2025-08-12 00:00:00+00:00,1197,37,186,72
2025-08-13 00:00:00+00:00,810,24,227,53
2025-08-14 00:00:00+00:00,27,6,187,55
