time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-12 00:00:00+00:00,353,18,42,27
2025-04-13 00:00:00+00:00,11,9,44,23
2025-04-14 00:00:00+00:00,2487,12,318,40
2025-04-15 00:00:00+00:00,2081,20,229,47
2025-04-16 00:00:00+00:00,1280,29,210,49
2025-04-17 00:00:00+00:00,312,16,244,64
2025-04-18 00:00:00+00:00,155,20,102,40
2025-04-19 00:00:00+00:00,7,7,67,31
2025-04-20 00:00:00+00:00,9,7,50,29
2025-04-21 00:00:00+00:00,288,15,95,40
2025-04-22 00:00:00+00:00,743,33,131,39
2025-04-23 00:00:00+00:00,692,31,168,47
2025-04-24 00:00:00+00:00,437,24,161,58
2025-04-25 00:00:00+00:00,262,12,164,29
