url_path,views_total,views_unique
/mathesar-foundation/mathesar,472,196
/mathesar-foundation/mathesar/pulls,225,9
/mathesar-foundation/mathesar/issues,196,23
/mathesar-foundation/mathesar/tree/develop/mathesar,54,6
/mathesar-foundation/mathesar/pulls/assigned/pavish,35,1
/mathesar-foundation/mathesar/discussions,28,8
/mathesar-foundation/mathesar/tree/develop/mathesar/api,28,4
/mathesar-foundation/mathesar/tree/develop/mathesar/api/db,25,3
/mathesar-foundation/mathesar/pull/3855,25,2
/mathesar-foundation/mathesar/tree/develop/mathesar_ui,21,9
