url_path,views_total,views_unique
/mathesar-foundation/mathesar,394,247
/mathesar-foundation/mathesar/pulls,130,21
/mathesar-foundation/mathesar/issues,104,36
/mathesar-foundation/mathesar/discussions,40,12
/mathesar-foundation/mathesar/releases,19,14
/mathesar-foundation/mathesar/releases/tag/0.11.0,18,17
/mathesar-foundation/mathesar/blob/develop/docker-compose.yml,13,12
/mathesar-foundation/mathesar/pull/5278,10,3
/mathesar-foundation/mathesar/pull/5284,9,2
/mathesar-foundation/mathesar/commits,8,6
