referrer,views_total,views_unique
github.com,485,53
Google,285,82
mathesar.org,126,55
docs.mathesar.org,101,34
wiki.postgresql.org,24,18
DuckDuckGo,22,6
overleaf.com,14,1
ecosia.org,13,1
com.linkedin.android,10,4
linkedin.com,9,2
