url_path,views_total,views_unique
/mathesar-foundation/mathesar,354,210
/mathesar-foundation/mathesar/issues,85,30
/mathesar-foundation/mathesar/pulls,65,18
/mathesar-foundation/mathesar/discussions,38,12
/mathesar-foundation/mathesar/pull/5347,31,5
/mathesar-foundation/mathesar/pull/5348,15,3
/mathesar-foundation/mathesar/pull/5347/commits,13,1
/mathesar-foundation/mathesar/issues/4638,9,8
/mathesar-foundation/mathesar/blob/develop/docker-compose.yml,8,3
/mathesar-foundation/mathesar/pull/5349/changes,8,1
