referrer,views_total,views_unique
github.com,444,55
Google,257,78
mathesar.org,120,56
t.co,89,75
docs.mathesar.org,63,35
wiki.postgresql.org,26,18
DuckDuckGo,22,6
overleaf.com,14,1
ecosia.org,13,1
com.linkedin.android,10,4
