time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-13 00:00:00+00:00,45,28,46,29
2026-03-14 00:00:00+00:00,20,12,44,31
2026-03-15 00:00:00+00:00,65,46,46,24
2026-03-16 00:00:00+00:00,179,32,79,33
2026-03-17 00:00:00+00:00,44,30,55,32
2026-03-18 00:00:00+00:00,179,29,73,37
2026-03-19 00:00:00+00:00,82,45,95,37
2026-03-20 00:00:00+00:00,240,29,145,39
2026-03-21 00:00:00+00:00,316,216,54,28
2026-03-22 00:00:00+00:00,61,27,61,39
2026-03-23 00:00:00+00:00,44,23,111,43
2026-03-24 00:00:00+00:00,12,6,80,38
2026-03-25 00:00:00+00:00,40,23,104,47
2026-03-26 00:00:00+00:00,803,45,71,30
