url_path,views_total,views_unique
/mathesar-foundation/mathesar,602,275
/mathesar-foundation/mathesar/issues,357,83
/mathesar-foundation/mathesar/pulls,208,24
/mathesar-foundation/mathesar/blob/develop/DEVELOPER_GUIDE.md,127,14
/mathesar-foundation/mathesar/blob/develop/CONTRIBUTING.md,123,26
/mathesar-foundation/mathesar/pull/3323,67,7
/mathesar-foundation/mathesar/issues/3330,50,21
/mathesar-foundation/mathesar/pull/3200,47,9
/mathesar-foundation/mathesar/labels,39,16
/centerofci/mathesar/blob/develop/CONTRIBUTING.md,38,1
