url_path,views_total,views_unique
/mathesar-foundation/mathesar,642,409
/mathesar-foundation/mathesar/issues,198,35
/mathesar-foundation/mathesar/pulls,128,13
/mathesar-foundation/mathesar/pull/3506,33,6
/mathesar-foundation/mathesar/tree/develop/mathesar_ui,20,8
/mathesar-foundation/mathesar/pull/3489,20,3
/mathesar-foundation/mathesar/issues/2662,19,2
/mathesar-foundation/mathesar/pull/3507,18,5
/mathesar-foundation/mathesar/pull/3494,18,4
/mathesar-foundation/mathesar/blob/develop/Dockerfile,18,3
