url_path,views_total,views_unique
/mathesar-foundation/mathesar,440,300
/mathesar-foundation/mathesar/issues,104,38
/mathesar-foundation/mathesar/pulls,67,22
/mathesar-foundation/mathesar/discussions,26,9
/mathesar-foundation/mathesar/releases/tag/0.10.0,25,21
/mathesar-foundation/mathesar/releases,23,18
/mathesar-foundation/mathesar/releases/tag/0.10.1,18,12
/mathesar-foundation/mathesar/blob/develop/docker-compose.yml,13,12
/mathesar-foundation/mathesar/pulse,11,7
/mathesar-foundation/mathesar/issues/5256,8,5
