url_path,views_total,views_unique
/mathesar-foundation/mathesar,345,220
/mathesar-foundation/mathesar/issues,98,38
/mathesar-foundation/mathesar/pulls,83,18
/mathesar-foundation/mathesar/discussions,46,14
/mathesar-foundation/mathesar/releases,13,11
/mathesar-foundation/mathesar/releases/tag/0.11.0,11,11
/mathesar-foundation/mathesar/stargazers,9,3
/mathesar-foundation/mathesar/pull/5314,8,1
/mathesar-foundation/mathesar/tree/develop/mathesar_ui,7,7
/mathesar-foundation/mathesar/issues/2485,7,6
