url_path,views_total,views_unique
/mathesar-foundation/mathesar,338,222
/mathesar-foundation/mathesar/issues,128,30
/mathesar-foundation/mathesar/pulls,75,17
/mathesar-foundation/mathesar/pull/4026,32,8
/mathesar-foundation/mathesar/pull/4028,22,7
/mathesar-foundation/mathesar/blob/develop/DEVELOPER_GUIDE.md,20,6
/mathesar-foundation/mathesar/issues/3965,20,6
/mathesar-foundation/mathesar/issues/4013,18,10
/mathesar-foundation/mathesar/pull/4034,16,2
/mathesar-foundation/mathesar/pull/4030,14,5
