time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-12 00:00:00+00:00,72,3,70,17
2025-01-13 00:00:00+00:00,1084,12,145,24
2025-01-14 00:00:00+00:00,1051,9,273,39
2025-01-15 00:00:00+00:00,842,10,167,32
2025-01-16 00:00:00+00:00,557,9,153,28
2025-01-17 00:00:00+00:00,627,5,81,26
2025-01-18 00:00:00+00:00,4,4,37,14
2025-01-19 00:00:00+00:00,4,2,49,18
2025-01-20 00:00:00+00:00,1320,10,239,34
2025-01-21 00:00:00+00:00,1313,7,126,36
2025-01-22 00:00:00+00:00,1295,11,485,42
2025-01-23 00:00:00+00:00,1064,12,246,31
2025-01-24 00:00:00+00:00,671,6,278,36
2025-01-25 00:00:00+00:00,3,3,79,24
