time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-07-27 00:00:00+00:00,397,8,470,34
2023-07-28 00:00:00+00:00,222,11,368,36
2023-07-29 00:00:00+00:00,14,5,82,19
2023-07-30 00:00:00+00:00,47,7,223,16
2023-07-31 00:00:00+00:00,289,16,535,37
2023-08-01 00:00:00+00:00,147,11,254,40
2023-08-02 00:00:00+00:00,256,21,203,27
2023-08-03 00:00:00+00:00,333,21,195,27
2023-08-04 00:00:00+00:00,174,8,90,21
2023-08-05 00:00:00+00:00,10,4,28,15
2023-08-06 00:00:00+00:00,61,4,142,15
2023-08-07 00:00:00+00:00,190,8,131,32
2023-08-08 00:00:00+00:00,79,10,148,34
2023-08-09 00:00:00+00:00,239,16,278,30
2023-08-10 00:00:00+00:00,221,16,247,39
2023-08-11 00:00:00+00:00,144,13,382,90
2023-08-12 00:00:00+00:00,8,7,116,32
2023-08-13 00:00:00+00:00,5,5,291,21
2023-08-14 00:00:00+00:00,35,9,120,34
2023-08-15 00:00:00+00:00,191,23,384,35
2023-08-16 00:00:00+00:00,257,9,210,34
2023-08-17 00:00:00+00:00,136,14,198,40
2023-08-18 00:00:00+00:00,72,12,203,49
2023-08-19 00:00:00+00:00,5,5,105,28
2023-08-20 00:00:00+00:00,42,7,103,24
2023-08-21 00:00:00+00:00,67,6,155,27
2023-08-22 00:00:00+00:00,92,9,147,40
2023-08-23 00:00:00+00:00,103,10,137,30
2023-08-24 00:00:00+00:00,293,21,272,41
2023-08-25 00:00:00+00:00,224,15,274,37
2023-08-26 00:00:00+00:00,43,6,197,28
2023-08-27 00:00:00+00:00,9,6,137,27
2023-08-28 00:00:00+00:00,262,16,350,45
2023-08-29 00:00:00+00:00,212,19,349,38
2023-08-30 00:00:00+00:00,43,9,111,36
2023-08-31 00:00:00+00:00,55,10,272,39
2023-09-01 00:00:00+00:00,51,6,194,40
2023-09-02 00:00:00+00:00,4,4,94,21
2023-09-03 00:00:00+00:00,19,5,186,20
2023-09-04 00:00:00+00:00,54,12,423,34
2023-09-05 00:00:00+00:00,63,9,326,24
2023-09-06 00:00:00+00:00,155,12,222,33
2023-09-07 00:00:00+00:00,139,15,346,36
2023-09-08 00:00:00+00:00,111,10,218,34
2023-09-09 00:00:00+00:00,16,7,217,29
2023-09-10 00:00:00+00:00,5,5,152,25
2023-09-11 00:00:00+00:00,181,13,366,37
2023-09-12 00:00:00+00:00,96,9,197,34
2023-09-13 00:00:00+00:00,88,9,337,35
2023-09-14 00:00:00+00:00,54,8,249,33
2023-09-15 00:00:00+00:00,104,11,176,35
2023-09-16 00:00:00+00:00,237,9,185,24
2023-09-17 00:00:00+00:00,53,9,93,31
2023-09-18 00:00:00+00:00,171,14,497,48
2023-09-19 00:00:00+00:00,374,30,441,55
2023-09-20 00:00:00+00:00,363,30,333,26
2023-09-21 00:00:00+00:00,92,14,338,40
2023-09-22 00:00:00+00:00,144,12,206,33
2023-09-23 00:00:00+00:00,8,4,126,28
2023-09-24 00:00:00+00:00,19,6,81,19
2023-09-25 00:00:00+00:00,94,14,252,30
2023-09-26 00:00:00+00:00,119,14,237,33
2023-09-27 00:00:00+00:00,88,10,169,16
2023-09-28 00:00:00+00:00,68,10,96,25
2023-09-29 00:00:00+00:00,33,6,156,37
2023-09-30 00:00:00+00:00,7,6,56,23
2023-10-01 00:00:00+00:00,5,3,113,29
2023-10-02 00:00:00+00:00,178,7,237,61
2023-10-03 00:00:00+00:00,114,9,335,36
2023-10-04 00:00:00+00:00,104,11,334,52
2023-10-05 00:00:00+00:00,226,12,165,36
