time_iso8601,stars_cumulative
2023-03-12 00:00:00+00:00,1270
2023-03-13 00:00:00+00:00,1293
2023-03-14 00:00:00+00:00,1312
2023-03-15 00:00:00+00:00,1325
2023-03-16 00:00:00+00:00,1351
2023-03-17 00:00:00+00:00,1363
2023-03-18 00:00:00+00:00,1385
2023-03-19 00:00:00+00:00,1409
2023-03-20 00:00:00+00:00,1419
2023-03-21 00:00:00+00:00,1425
2023-03-22 00:00:00+00:00,1428
2023-03-23 00:00:00+00:00,1435
2023-03-24 00:00:00+00:00,1441
2023-03-25 00:00:00+00:00,1447
2023-03-26 00:00:00+00:00,1452
2023-03-27 00:00:00+00:00,1459
2023-03-28 00:00:00+00:00,1468
2023-03-29 00:00:00+00:00,1474
2023-03-30 00:00:00+00:00,1478
2023-03-31 00:00:00+00:00,1485
2023-04-01 00:00:00+00:00,1496
2023-04-02 00:00:00+00:00,1497
2023-04-03 00:00:00+00:00,1504
2023-04-04 00:00:00+00:00,1507
2023-04-05 00:00:00+00:00,1513
2023-04-06 00:00:00+00:00,1517
2023-04-07 00:00:00+00:00,1520
2023-04-08 00:00:00+00:00,1527
2023-04-09 00:00:00+00:00,1529
2023-04-11 00:00:00+00:00,1533
2023-04-12 00:00:00+00:00,1536
2023-04-13 00:00:00+00:00,1540
2023-04-14 00:00:00+00:00,1543
2023-04-15 00:00:00+00:00,1544
2023-04-16 00:00:00+00:00,1545
2023-04-18 00:00:00+00:00,1547
2023-04-19 00:00:00+00:00,1549
2023-04-20 00:00:00+00:00,1558
2023-04-21 00:00:00+00:00,1559
2023-04-22 00:00:00+00:00,1563
2023-04-23 00:00:00+00:00,1565
2023-04-24 00:00:00+00:00,1568
2023-04-25 00:00:00+00:00,1572
2023-04-26 00:00:00+00:00,1576
2023-04-27 00:00:00+00:00,1577
2023-04-28 00:00:00+00:00,1579
2023-04-29 00:00:00+00:00,1580
2023-04-30 00:00:00+00:00,1581
2023-05-01 00:00:00+00:00,1583
2023-05-02 00:00:00+00:00,1587
2023-05-03 00:00:00+00:00,1591
2023-05-05 00:00:00+00:00,1594
2023-05-06 00:00:00+00:00,1596
2023-05-07 00:00:00+00:00,1597
2023-05-08 00:00:00+00:00,1599
