time_iso8601,forks_cumulative
2023-05-21 00:00:00+00:00,212
2023-05-30 00:00:00+00:00,213
2023-05-31 00:00:00+00:00,214
2023-06-04 00:00:00+00:00,215
2023-06-05 00:00:00+00:00,217
2023-06-09 00:00:00+00:00,219
2023-06-11 00:00:00+00:00,220
2023-06-16 00:00:00+00:00,222
2023-06-17 00:00:00+00:00,223
2023-06-22 00:00:00+00:00,224
2023-06-30 00:00:00+00:00,225
2023-07-01 00:00:00+00:00,226
2023-07-02 00:00:00+00:00,228
2023-07-04 00:00:00+00:00,231
2023-07-09 00:00:00+00:00,233
2023-07-10 00:00:00+00:00,234
2023-07-11 00:00:00+00:00,235
2023-07-12 00:00:00+00:00,236
2023-07-14 00:00:00+00:00,237
2023-07-22 00:00:00+00:00,238
2023-08-10 00:00:00+00:00,239
2023-08-15 00:00:00+00:00,240
2023-08-18 00:00:00+00:00,241
2023-08-20 00:00:00+00:00,242
2023-08-25 00:00:00+00:00,243
2023-08-28 00:00:00+00:00,245
2023-09-03 00:00:00+00:00,246
2023-09-07 00:00:00+00:00,247
