time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-29 00:00:00+00:00,258,13,1446,138
2023-03-30 00:00:00+00:00,69,12,915,100
2023-03-31 00:00:00+00:00,136,7,627,86
2023-04-01 00:00:00+00:00,57,6,702,110
2023-04-02 00:00:00+00:00,26,8,529,109
2023-04-03 00:00:00+00:00,148,11,749,130
2023-04-04 00:00:00+00:00,79,5,798,108
2023-04-05 00:00:00+00:00,132,7,458,83
2023-04-06 00:00:00+00:00,187,10,572,81
2023-04-07 00:00:00+00:00,160,9,535,75
2023-04-08 00:00:00+00:00,22,7,424,65
2023-04-09 00:00:00+00:00,63,7,368,61
2023-04-10 00:00:00+00:00,168,12,688,84
2023-04-11 00:00:00+00:00,205,8,640,76
