referrer,views_total,views_unique
github.com,632,93
mathesar.org,215,49
Google,171,43
docs.mathesar.org,54,9
madewithsvelte.com,44,4
news.ycombinator.com,39,14
medevel.com,22,7
up-for-grabs.net,21,5
t.co,17,11
wiki.mathesar.org,17,7
