referrer,views_total,views_unique
github.com,468,74
Google,327,42
mathesar.org,293,57
wiki.mathesar.org,79,13
summerofcode.withgoogle.com,36,16
news.ycombinator.com,30,15
docs.mathesar.org,26,5
up-for-grabs.net,23,7
groups.google.com,15,2
madewithsvelte.com,12,1
