referrer,views_total,views_unique
github.com,543,89
mathesar.org,213,50
Google,164,42
docs.mathesar.org,54,9
madewithsvelte.com,43,3
news.ycombinator.com,40,15
medevel.com,22,7
up-for-grabs.net,20,5
t.co,17,11
wiki.mathesar.org,17,7
