referrer,views_total,views_unique
github.com,826,86
mathesar.org,266,53
madewithsvelte.com,244,3
Google,180,36
docs.mathesar.org,101,13
svelte.dev,30,1
goodfirstissues.com,28,17
korben.info,26,13
news.ycombinator.com,24,19
com.google.android.gm,23,3
