referrer,views_total,views_unique
github.com,271,58
Google,168,38
mathesar.org,154,60
news.ycombinator.com,88,10
docs.mathesar.org,87,9
up-for-grabs.net,80,16
wiki.mathesar.org,71,15
summerofcode.withgoogle.com,71,11
medevel.com,18,7
aritra8438.github.io,14,5
