referrer,views_total,views_unique
github.com,651,105
mathesar.org,242,51
Google,207,45
docs.mathesar.org,67,5
madewithsvelte.com,56,4
news.ycombinator.com,38,13
medevel.com,25,9
wiki.mathesar.org,22,10
up-for-grabs.net,17,7
mail.google.com,11,3
