referrer,views_total,views_unique
github.com,508,93
Google,236,45
mathesar.org,169,53
wiki.mathesar.org,107,25
docs.mathesar.org,96,8
news.ycombinator.com,20,12
groups.google.com,17,3
medevel.com,10,5
up-for-grabs.net,7,4
search.brave.com,7,1
