referrer,views_total,views_unique
github.com,654,73
mathesar.org,240,37
news.ycombinator.com,202,8
Google,198,50
docs.mathesar.org,71,18
medevel.com,33,6
up-for-grabs.net,20,8
svelte.dev,17,14
groups.google.com,17,2
waves.digitalocean.com,14,11
