referrer,views_total,views_unique
github.com,539,86
Google,293,42
mathesar.org,218,50
docs.mathesar.org,50,10
madewithsvelte.com,42,2
news.ycombinator.com,40,15
medevel.com,26,9
up-for-grabs.net,20,5
t.co,17,11
wiki.mathesar.org,13,5
