referrer,views_total,views_unique
github.com,454,73
Google,238,42
mathesar.org,190,42
wiki.mathesar.org,80,11
summerofcode.withgoogle.com,78,16
news.ycombinator.com,74,13
up-for-grabs.net,28,7
aritra8438.github.io,15,3
docs.mathesar.org,13,5
medevel.com,5,3
