url_path,views_total,views_unique
/centerofci/mathesar,522,270
/centerofci/mathesar/issues,196,46
/centerofci/mathesar/pulls,144,21
/centerofci/mathesar/tree/develop/mathesar_ui,80,18
/centerofci/mathesar/blob/develop/DEVELOPER_GUIDE.md,67,11
/centerofci/mathesar/blob/develop/CONTRIBUTING.md,55,20
/centerofci/mathesar/tree/develop/mathesar_ui/src,55,12
/centerofci/mathesar/blob/develop/mathesar/api/exceptions/error_codes.py,48,1
/centerofci/mathesar/pull/2968,44,5
/centerofci/mathesar/pull/2981,40,8
