url_path,views_total,views_unique
/centerofci/mathesar,601,326
/centerofci/mathesar/issues,184,41
/centerofci/mathesar/pulls,140,15
/centerofci/mathesar/blob/develop/mathesar/api/exceptions/error_codes.py,64,1
/centerofci/mathesar/tree/develop/mathesar_ui,56,12
/centerofci/mathesar/blob/develop/DEVELOPER_GUIDE.md,48,10
/centerofci/mathesar/pull/2968,31,5
/centerofci/mathesar/blob/develop/CONTRIBUTING.md,30,10
/centerofci/mathesar/tree/develop/mathesar,29,9
/centerofci/mathesar/tree/develop/mathesar_ui/src,29,7
