url_path,views_total,views_unique
/centerofci/mathesar,622,345
/centerofci/mathesar/issues,189,39
/centerofci/mathesar/pulls,154,13
/centerofci/mathesar/blob/develop/DEVELOPER_GUIDE.md,60,10
/centerofci/mathesar/blob/develop/CONTRIBUTING.md,45,14
/centerofci/mathesar/blob/develop/mathesar/api/exceptions/error_codes.py,44,1
/centerofci/mathesar/issues/2857,43,14
/centerofci/mathesar/tree/develop/mathesar,34,10
/centerofci/mathesar/pull/2951,30,4
/centerofci/mathesar/blob/develop/docker-compose.yml,29,9
