referrer,views_total,views_unique
github.com,1275,97
mathesar.org,245,50
docs.mathesar.org,217,15
Google,123,42
goodfirstissues.com,93,29
news.ycombinator.com,36,29
svelte.dev,33,1
mail.google.com,26,3
up-for-grabs.net,23,5
madewithsvelte.com,19,5
