referrer,views_total,views_unique
github.com,452,76
Google,362,49
mathesar.org,287,53
wiki.mathesar.org,65,10
summerofcode.withgoogle.com,29,13
up-for-grabs.net,21,6
docs.mathesar.org,21,4
news.ycombinator.com,15,10
groups.google.com,15,2
madewithsvelte.com,12,1
