referrer,views_total,views_unique
github.com,568,86
news.ycombinator.com,245,12
mathesar.org,225,41
Google,198,51
docs.mathesar.org,72,22
medevel.com,37,8
centerofci.org,26,1
svelte.dev,20,17
up-for-grabs.net,19,4
groups.google.com,14,3
