url_path,views_total,views_unique
/centerofci/mathesar,601,327
/centerofci/mathesar/issues,183,40
/centerofci/mathesar/pulls,139,15
/centerofci/mathesar/blob/develop/mathesar/api/exceptions/error_codes.py,64,1
/centerofci/mathesar/tree/develop/mathesar_ui,63,12
/centerofci/mathesar/blob/develop/DEVELOPER_GUIDE.md,58,11
/centerofci/mathesar/tree/develop/mathesar_ui/src,43,8
/centerofci/mathesar/blob/develop/CONTRIBUTING.md,38,12
/centerofci/mathesar/pull/2968,31,5
/centerofci/mathesar/pull/2956,29,3
