time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-09 00:00:00+00:00,8,8,57,18
2024-03-10 00:00:00+00:00,4,3,59,24
2024-03-11 00:00:00+00:00,199,10,175,46
2024-03-12 00:00:00+00:00,11,11,149,47
2024-03-13 00:00:00+00:00,63,5,177,40
2024-03-14 00:00:00+00:00,154,8,122,34
2024-03-15 00:00:00+00:00,327,15,282,77
2024-03-16 00:00:00+00:00,6,6,133,59
2024-03-17 00:00:00+00:00,5,3,120,35
2024-03-18 00:00:00+00:00,304,15,222,43
2024-03-19 00:00:00+00:00,40,3,206,37
2024-03-20 00:00:00+00:00,93,11,174,39
2024-03-21 00:00:00+00:00,142,8,165,30
2024-03-22 00:00:00+00:00,208,12,192,32
2024-03-23 00:00:00+00:00,96,9,228,131
2024-03-24 00:00:00+00:00,3,3,129,39
2024-03-25 00:00:00+00:00,228,11,194,48
2024-03-26 00:00:00+00:00,65,7,143,49
2024-03-27 00:00:00+00:00,198,10,165,43
2024-03-28 00:00:00+00:00,159,12,139,34
2024-03-29 00:00:00+00:00,64,5,94,26
2024-03-30 00:00:00+00:00,6,6,34,16
2024-03-31 00:00:00+00:00,4,4,37,12
2024-04-01 00:00:00+00:00,38,8,89,26
2024-04-02 00:00:00+00:00,10,8,98,29
2024-04-03 00:00:00+00:00,347,9,114,24
2024-04-04 00:00:00+00:00,78,7,293,43
2024-04-05 00:00:00+00:00,66,4,299,31
2024-04-06 00:00:00+00:00,34,5,160,48
2024-04-07 00:00:00+00:00,5,5,132,26
2024-04-08 00:00:00+00:00,69,6,229,35
2024-04-09 00:00:00+00:00,104,9,183,34
2024-04-10 00:00:00+00:00,72,11,143,29
2024-04-11 00:00:00+00:00,648,17,961,41
2024-04-12 00:00:00+00:00,370,13,195,27
2024-04-13 00:00:00+00:00,8,7,176,34
2024-04-14 00:00:00+00:00,3,3,69,19
2024-04-15 00:00:00+00:00,240,12,181,51
2024-04-16 00:00:00+00:00,151,8,913,46
2024-04-17 00:00:00+00:00,743,26,292,36
2024-04-18 00:00:00+00:00,76,8,122,34
2024-04-19 00:00:00+00:00,93,4,197,45
2024-04-20 00:00:00+00:00,93,10,135,20
2024-04-21 00:00:00+00:00,10,6,86,32
2024-04-22 00:00:00+00:00,144,13,119,42
2024-04-23 00:00:00+00:00,7,3,66,26
2024-04-24 00:00:00+00:00,68,12,159,35
2024-04-25 00:00:00+00:00,123,14,143,34
2024-04-26 00:00:00+00:00,121,12,111,29
2024-04-27 00:00:00+00:00,10,6,36,12
2024-04-28 00:00:00+00:00,12,8,67,21
2024-04-29 00:00:00+00:00,329,14,224,30
2024-04-30 00:00:00+00:00,244,18,191,60
2024-05-01 00:00:00+00:00,67,9,87,30
2024-05-02 00:00:00+00:00,176,17,95,23
2024-05-03 00:00:00+00:00,163,12,73,35
2024-05-04 00:00:00+00:00,37,7,103,19
2024-05-05 00:00:00+00:00,39,8,110,11
2024-05-06 00:00:00+00:00,233,18,111,18
2024-05-07 00:00:00+00:00,373,12,152,25
2024-05-08 00:00:00+00:00,72,12,174,38
2024-05-09 00:00:00+00:00,199,14,143,19
2024-05-10 00:00:00+00:00,288,16,158,21
2024-05-11 00:00:00+00:00,13,9,131,23
2024-05-12 00:00:00+00:00,8,8,110,16
2024-05-13 00:00:00+00:00,52,16,264,25
2024-05-14 00:00:00+00:00,221,12,209,37
2024-05-15 00:00:00+00:00,103,10,180,35
2024-05-16 00:00:00+00:00,141,20,90,24
2024-05-17 00:00:00+00:00,124,10,143,16
2024-05-18 00:00:00+00:00,37,5,92,19
2024-05-19 00:00:00+00:00,6,5,57,13
2024-05-20 00:00:00+00:00,375,16,212,32
2024-05-21 00:00:00+00:00,62,6,165,29
2024-05-22 00:00:00+00:00,7,7,130,26
2024-05-23 00:00:00+00:00,7,5,97,23
2024-05-24 00:00:00+00:00,6,6,67,23
2024-05-25 00:00:00+00:00,9,7,21,12
